dane_code,department,dept_capital,notary_offices,telecom_offices,post_offices,health_centers,health_posts,schools,libraries,fire_stations,jails,public_instrument_offices,tax_offices,municipal_employees,primary_enrollment,secondary_enrollment,infant_mortality,aqueduct_coverage,sewage_coverage,electricity_coverage,vaccination_coverage,not_poor_1993,not_poor_2005,life_quality_index,tax_per_capita_2002,crown_employees_1794,crown_employees_nonmilitary_1794,colonial_state_index,colonial_city,royal_road_distance,literacy_1918,schooling_1918,vaccination_1918,longitude,latitude,area_sqkm,elevation_m,rainfall_mm,distance_coast_km,distance_magdalena_km,highway_distance_m,population_1995,pop_density_1995,urban_share_1995,malaria_incidence,oil_producer,land_agri_share,land_mountain_share,slaves_share_1843,encomienda_1560,gold_mine_1560,foundation_year,population_1843
41801,Huila,0,0,1,1,1,0,4,1,0,1,0,0,8,1.21557,0.606303,13.207,63.7795,56.1918,86.1847,0.5612,54.0557,59.73,51,12099.8,0,0,0,0,4.94209,0.193613,0.0375249,0.138124,-75.854,2.89174,589,910,1700,180.91,8.89582,1471.98,7488,12.7131,0.507269,0.165132,0,0.409091,0.772727,0.0049782,0,0,1697,1607
41807,Huila,0,1,1,1,0,0,8,1,0,1,0,1,44,1.13649,0.443541,23.0129,88.0285,57.3203,77.5898,0.633803,59.4822,62.52,54,18503.3,0,0,1,0,31.9027,0.240116,0.0625787,0.244271,-75.97,1.96,194,1100,1346,210.422,6.74569,813.329,23253,119.861,0.305049,0.0801155,0,0.8,1,0.0003526,1,1,1538,2836
41872,Huila,0,0,1,1,1,0,4,1,0,1,0,0,8,1.3777,0.606069,36.3587,72.529,31.561,76.21,0.368807,50.1232,54,44,14779.4,0,0,1,0,7.27956,0.153447,0.0432246,0.285498,-75.23,3.2,578,384,1440,218.202,1.93684,390.432,7683,13.2924,0.34178,0,0,0.64,0.64,0.0054379,0,0,1550,3494
41885,Huila,0,0,1,1,1,0,7,1,0,1,0,0,22,1.45477,1,33.24,92.1827,85.2167,93.2662,0.510246,59.4796,70.42,59,91143,0,0,2,0,4.40386,0.193845,0.0289389,0.108176,-75.55,2.64,349,560,1620,212.693,0.196459,731.197,6663,19.0917,0.844576,0.0376223,1,0.692308,0.230769,0.0183858,1,0,1623,3209
44001,Guajira,1,1,1,1,0,3,67,1,1,1,1,1,710,1.73643,1,27.6303,68.7178,43.0745,86.3413,1.13891,42.3255,59.57,65,13258.6,14,14,2,1,4.1914,0.339983,0.0889911,0.187081,-72.94,11.51,5020,3,760,25.1725,212.212,2448.32,111938,22.2984,0.924695,9.41261,0,0.357724,0.170732,0.0262375,0,0,1545,5717
44078,Guajira,0,1,1,2,0,0,9,0,0,1,0,1,126,1.31093,0.708086,184.256,91.8668,43.7472,90.3262,0.620247,55.7276,54.67,57,65118.6,2,2,2,0,25.3073,0.270256,0.0490842,0.100122,-72.82,10.92,793,150,791,67.7955,219.813,2754.55,28594,36.058,0.581012,0.130219,0,0.657143,0.2,0.0250611,0,0,1664,1636
44110,Guajira,0,,,,,,,,,,,,15,1.57753,0.794634,25.5952,89.1046,53.8296,86.192,0.770184,39.81,60.56,55,24008.9,0,0,0,0,16.5987,,,,-72.85,10.6,174,10,920,86.5337,194.474,348.213,5690,32.7011,0.922757,0,0,0.75,0.375,0.0124004,0,0,1989,1129
44279,Guajira,0,1,1,1,0,2,22,1,0,1,0,1,101,1.64728,1,47.8374,85.1097,55.4067,87.6141,0.608602,50.3845,62.2,59,8320.13,2,2,2,0,27.2543,0.244666,0.0435923,0.3294,-72.88,10.85,719,181,801,72.6218,205.456,3015.53,32745,45.5424,0.883907,0.162849,0,0.724138,0.344828,0.0341053,0,0,1757,2375
44430,Guajira,0,1,1,1,0,4,33,1,1,1,0,1,116,1.3293,0.735041,30.4338,61.0752,27.9941,88.4296,0.43625,42.0429,41.72,62,21928.2,0,0,0,0,48.3723,0,0,0,-72.27,11.36,2229,52,779,39.5961,277.249,1482.73,108725,48.7775,0.932895,0.0624319,0,0.401961,0,0,0,0,1927,2892.24
44560,Guajira,0,0,1,2,1,0,6,0,0,1,0,1,30,1.18599,0.396394,39.3002,10.9507,5.58992,16.4719,0.781302,0,23.11,,5014.05,0,0,0,0,52.4529,,,,-72.45,11.74,1643,32,267,9.34677,270.64,1261.7,27636,16.8205,0.19588,5.66807,1,0.453125,0,0,0,0,1973,2892.24
44650,Guajira,0,1,1,1,0,0,20,1,1,1,1,1,77,1.55355,0.947042,12.5976,82.9838,37.5524,83.1844,0.573911,50.6671,63.7,63,5893.54,1,1,2,0,15.0036,0.244351,0.0567376,0.231794,-73.03,10.74,1415,213,842,60.4986,187.714,841.041,36373,25.7053,0.730792,0,0,0.509091,0.436364,0.0313019,0,0,1701,3610
44847,Guajira,0,1,1,1,1,0,5,0,0,1,0,0,504,1.53516,0.188587,65.5734,5.25394,3.12146,6.24292,0.541485,0.57107,13.91,80,6309.01,0,0,0,0,69.0538,,,,-72.29,11.69,7904,32,267,24.0949,284.605,947.312,62983,7.9685,0.0922042,0,0,0.12628,0,0,0,0,1935,2892.24
44855,Guajira,0,0,1,1,1,0,9,1,0,0,0,0,22,1.16463,0.918251,18.0729,78.4643,58.1284,74.2651,0.638329,40.1489,57.13,54,21720,0,0,0,0,6.50382,,,,-73.06,10.52,432,234,972,93.6722,184.202,1113.48,10344,23.9444,0.955154,0,0,,,0.0021834,0,0,1978,458
44874,Guajira,0,1,1,1,0,2,23,0,0,1,0,1,51,1.30147,0.913819,20.7043,88.901,64.9619,87.3776,0.505587,50.363,65.63,59,5498.97,0,0,1,0,11.9085,0.152364,0.0205699,0.0115116,-73.01,10.58,270,234,972,86.7578,187.688,263.732,20091,74.4111,0.928179,0.0124931,0,0.545455,0.181818,0.0062696,0,0,1800,957
47001,Magdalena,1,2,1,1,10,12,131,1,1,1,1,1,812,1.14568,0.874023,17.9526,86.86,68.5656,93.7457,0.414881,65.2378,73.95,77,46877.9,57,56,3,1,5.34879,0.762767,0.177827,0.320787,-74.2,11.23,2369,120,808,20.8275,73.345,5259.48,325956,137.592,0.960208,0.330017,0,0.520833,0.708333,0.0401985,0,0,1525,6045
47053,Magdalena,0,1,1,1,1,0,16,0,0,1,0,1,34,1.46689,0.829072,167.932,67.5029,2.85467,79.9452,0.59209,38.5001,49.7,53,0,0,0,0,0,14.1873,0.239848,0.0509987,0.0335742,-74.2,10.58,1755,40,1370,53.4283,58.1493,2398.61,69516,39.6103,0.51645,0.0483388,0,0.411765,0.705882,0,0,0,1885,2892.24
47058,Magdalena,0,1,1,1,0,1,10,0,0,0,0,1,52,1.24717,0.617444,93.9827,18.7715,4.38144,64.39,0.510023,23.8162,46.78,49,7155.38,0,0,0,0,60.1375,,,,-74.26,9.82,1703,175,1403,129.921,59.6534,653.063,40830,23.9753,0.630883,0.0263331,0,0.220588,0,0,0,0,1750,2892.24
